EVT VALUE,EVT CLASSNAME,SCLASS
-9999,Nodata,NODATA
3001,Inter-Mountain Basins Sparsely Vegetated Systems,Barren or Sparse
3002,Mediterranean California Sparsely Vegetated Systems,Barren or Sparse
3003,North Pacific Sparsely Vegetated Systems,Barren or Sparse
3004,North American Warm Desert Sparsely Vegetated Systems,Barren or Sparse
3006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Barren or Sparse
3007,Western Great Plains Sparsely Vegetated Systems,Barren or Sparse
3180,Introduced Riparian Forest and Woodland,UE
3181,Introduced Upland Vegetation-Annual Grassland,UE
3182,Introduced Upland Vegetation-Perennial Grassland and Forbland,UE
3183,Introduced Upland Vegetation-Annual and Biennial Forbland,UE
3184,California Annual Grassland,UE
3185,Introduced Forest Wetland,UE
3186,Introduced Upland Vegetation-Shrub,UE
3187,Introduced Upland Vegetation-Treed,UE
3194,Ruderal Upland-Treed,UE
3196,Introduced Shrub Wetland,UE
3199,Introduced Herbaceous Wetland,UE
3218,North American Warm Desert Sparsely Vegetated Systems II,Barren or Sparse
3219,Inter-Mountain Basins Sparsely Vegetated Systems II,Barren or Sparse
3221,Mediterranean California Sparsely Vegetated Systems II,Barren or Sparse
3222,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,Barren or Sparse
3223,Sonoran Desert Sparsely Vegetated,Barren or Sparse
3259,Introduced Riparian Shrubland,UE
3287,Modified/Managed Northern Tallgrass Shrubland,UE
3292,Open Water,Water
3293,Snow-Ice,Snow / Ice
3294,Barren,Barren or Sparse
3295,Quarries-Strip Mines-Gravel Pits,Barren or Sparse
3296,Developed-Low Intensity,Urban
3297,Developed-Medium Intensity,Urban
3298,Developed-High Intensity,Urban
3299,Developed-Roads,Urban
3497,Central Interior and Appalachian Sparsely Vegetated Systems,Barren or Sparse
3498,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Barren or Sparse
3499,Laurentian-Acadian Sparsely Vegetated Systems,Barren or Sparse
3528,Ruderal Upland Shrubland,UE
3529,Ruderal Upland Herbaceous,UE
3531,Ruderal Upland Forest,UE
3532,Ruderal Forest-Northern and Central Hardwood and Conifer,UE
3533,Ruderal Forest-Southeast Hardwood and Conifer,UE
3534,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,UE
3535,Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,UE
3536,Introduced Wetland Vegetation-Tree,UE
3538,Introduced Wetland Vegetation-Herbaceous,UE
3539,Modified/Managed Northern Tallgrass Grassland,UE
3540,Modified/Managed Southern Tallgrass Grassland,UE
3564,Modified/Managed Southern Tallgrass Shrubland,UE
3736,Barren,Barren or Sparse
3737,Snow-Ice,Snow / Ice
3738,Open Water,Water
3754,Agriculture-Pasture and Hay,Agriculture
3755,Agriculture-Cultivated Crops and Irrigated Agriculture,Agriculture
3767,Developed-Open Space,Urban
3768,Developed-Low Intensity,Urban
3769,Developed-Medium Intensity,Urban
3770,Developed-High Intensity,Urban
3791,Aleutian Sparsely Vegetated,Barren or Sparse
3792,Arctic Sparsely Vegetated,Barren or Sparse
3793,Boreal Sparsely Vegetated,Barren or Sparse
3794,Pacific Maritime Sparsely Vegetated,Barren or Sparse
3800,Developed-Open Space,Urban
3801,Developed-Low Intensity,Urban
3802,Developed-Medium Intensity,Urban
3803,Developed-High Intensity,Urban
3804,Agriculture,Agriculture
3805,Water,Water
3807,Hawai'i Islands Introduced Wetland Vegetation-Tree,UE
3812,Hawai'i Introduced Wetland Vegetation-Shrub,UE
3830,Barren,Barren or Sparse
3832,Barren,Barren or Sparse
3838,Hawai'i Introduced Wetland Vegetation-Herbaceous,UE
3845,Hawai'i Introduced Dry Forest,UE
3846,Hawai'i Introduced Wet-Mesic Forest,UE
3847,Hawai'i Introduced Deciduous Shrubland,UE
3848,Hawai'i Introduced Perennial Grassland,UE
3849,Hawai'i Introduced Evergreen Shrubland,UE
3850,Pacific Islands Introduced Forest,UE
3852,Hawai'i Introduced Coastal Wetland Vegetation - Tree,UE
3853,Hawai'i Introduced Coastal Wetland Vegetation - Shrub,UE
3854,Hawai'i Introduced Coastal Wetland Vegetation - Herbaceous,UE
3855,Hawai'i Managed Tree Plantation,UE
3856,Pacific Islands Plantation Forest,UE
3857,Urban,Urban
3858,Agriculture,Agriculture
3859,Water,Water
3860,Caribbean High-medium density urban,Urban
3861,Caribbean Low-medium density urban,Urban
3862,Caribbean Herbaceous agriculture - cultivated lands,Agriculture
3863,Caribbean Active sun coffee and mixed woody agriculture,Agriculture
3864,"Caribbean Pasture, hay or inactive agriculture",Agriculture
3865,"Caribbean Pasture, hay or other grassy areas",Agriculture
3879,Caribbean Salt or mud flats,Barren or Sparse
3884,Quarries,Barren or Sparse
3885,Coastal sand and rock,Barren or Sparse
3886,Bare soil,Barren or Sparse
3887,Water,Water
3900,Western Cool Temperate Urban Deciduous Forest,Urban
3901,Western Cool Temperate Urban Evergreen Forest,Urban
3902,Western Cool Temperate Urban Mixed Forest,Urban
3903,Western Cool Temperate Urban Herbaceous,Urban
3904,Western Cool Temperate Urban Shrubland,Urban
3905,Eastern Cool Temperate Urban Deciduous Forest,Urban
3906,Eastern Cool Temperate Urban Evergreen Forest,Urban
3907,Eastern Cool Temperate Urban Mixed Forest,Urban
3908,Eastern Cool Temperate Urban Herbaceous,Urban
3909,Eastern Cool Temperate Urban Shrubland,Urban
3910,Western Warm Temperate Urban Deciduous Forest,Urban
3911,Western Warm Temperate Urban Evergreen Forest,Urban
3912,Western Warm Temperate Urban Mixed Forest,Urban
3913,Western Warm Temperate Urban Herbaceous,Urban
3914,Western Warm Temperate Urban Shrubland,Urban
3915,Eastern Warm Temperate Urban Urban Deciduous Forest,Urban
3916,Eastern Warm Temperate Urban Urban Evergreen Forest,Urban
3917,Eastern Warm Temperate Urban Urban Mixed Forest,Urban
3918,Eastern Warm Temperate Urban Urban Herbaceous,Urban
3919,Eastern Warm Temperate Urban Urban Shrubland,Urban
3920,Western Cool Temperate Developed Ruderal Deciduous Forest,UE
3921,Western Cool Temperate Developed Ruderal Evergreen Forest,UE
3922,Western Cool Temperate Developed Ruderal Mixed Forest,UE
3923,Western Cool Temperate Developed Ruderal Shrubland,UE
3924,Western Cool Temperate Developed Ruderal Grassland,UE
3925,Western Warm Temperate Developed Ruderal Deciduous Forest,UE
3926,Western Warm Temperate Developed Ruderal Evergreen Forest,UE
3927,Western Warm Temperate Developed Ruderal Mixed Forest,UE
3928,Western Warm Temperate Developed Ruderal Shrubland,UE
3929,Western Warm Temperate Developed Ruderal Grassland,UE
3930,Eastern Cool Temperate Developed Ruderal Deciduous Forest,UE
3931,Eastern Cool Temperate Developed Ruderal Evergreen Forest,UE
3932,Eastern Cool Temperate Developed Ruderal Mixed Forest,UE
3933,Eastern Cool Temperate Developed Ruderal Shrubland,UE
3934,Eastern Cool Temperate Developed Ruderal Grassland,UE
3935,Eastern Warm Temperate Developed Ruderal Deciduous Forest,UE
3936,Eastern Warm Temperate Developed Ruderal Evergreen Forest,UE
3937,Eastern Warm Temperate Developed Ruderal Mixed Forest,UE
3938,Eastern Warm Temperate Developed Ruderal Shrubland,UE
3939,Eastern Warm Temperate Developed Ruderal Grassland,UE
3940,Western Cool Temperate Undeveloped Ruderal Deciduous Forest,UE
3941,Western Cool Temperate Undeveloped Ruderal Evergreen Forest,UE
3942,Western Cool Temperate Undeveloped Ruderal Mixed Forest,UE
3943,Western Cool Temperate Undeveloped Ruderal Shrubland,UE
3944,Western Cool Temperate Undeveloped Ruderal Grassland,UE
