"","CONUS_SCLA","CONUS_EVH","CONUS_EVC","CONUS_EVT","LC16_BPS_2","VALUE","COUNT","CONUS_MZ_0","BPS_MODEL","BPS_NAME","EVT_NAME","EVT_LF","EVT_PHYS","COVER","HEIGHT","SCLASS"
"1",1,303,326,7662,759,7258,12,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Temperate Pacific Freshwater Emergent Marsh","Herb","Riparian","Herb Cover = 26%","Herb Height = 0.3 meter","A"
"2",1,103,127,7063,759,3210,13,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 27%","Tree Height = 3 meters","A"
"3",1,303,346,7668,759,2790,8,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Temperate Pacific Tidal Salt and Brackish Marsh","Herb","Riparian","Herb Cover = 46%","Herb Height = 0.3 meter","A"
"4",1,106,131,7063,723,8926,574,1,"10360_1_2","North Pacific Hypermaritime Sitka Spruce Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 31%","Tree Height = 6 meters","A"
"5",1,103,143,7156,723,3665,14,1,"10360_1_2","North Pacific Hypermaritime Sitka Spruce Forest","North Pacific Lowland Riparian Forest","Tree","Riparian","Tree Cover = 43%","Tree Height = 3 meters","A"
"6",1,106,143,7063,759,8563,55,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 43%","Tree Height = 6 meters","A"
"7",1,107,134,7063,759,8559,261,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 34%","Tree Height = 7 meters","A"
"8",1,106,133,7063,759,1974,180,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 33%","Tree Height = 6 meters","A"
"9",1,104,144,7063,726,3306,40,1,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 44%","Tree Height = 4 meters","A"
"10",1,108,127,7063,759,1745,228,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","North Pacific Broadleaf Landslide Forest","Tree","Hardwood","Tree Cover = 27%","Tree Height = 8 meters","A"
