"","CONUS_EVT","EVT_rules","SCLASS_rules","CONUS_SCLA","CONUS_EVH","CONUS_EVC","LC16_BPS_2","VALUE","COUNT","CONUS_MZ_0","BPS_MODEL","BPS_NAME","EVT_NAME","EVT_LF","EVT_PHYS","COVER","HEIGHT","SCLASS","CHECK"
"1",7295,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Developed",132,32,32,750,7101,613,1,"11560_1_2_7","North Pacific Lowland Riparian Forest and Shrubland","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren or Sparse",FALSE
"2",7295,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Developed",132,32,32,726,7109,6046,1,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren or Sparse",FALSE
"3",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,132,156,759,4777,5,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 56%","Tree Height = 32 meters","UE",FALSE
"4",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,104,133,726,8916,13,1,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 33%","Tree Height = 4 meters","UE",FALSE
"5",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,123,148,726,9525,138,1,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 48%","Tree Height = 23 meters","UE",FALSE
"6",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,124,158,723,5123,6,1,"10360_1_2","North Pacific Hypermaritime Sitka Spruce Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 58%","Tree Height = 24 meters","UE",FALSE
"7",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,106,133,759,4535,9,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 33%","Tree Height = 6 meters","UE",FALSE
"8",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,113,133,759,6502,22,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 33%","Tree Height = 13 meters","UE",FALSE
"9",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,116,144,759,6711,67,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 44%","Tree Height = 16 meters","UE",FALSE
"10",7920,"Western Cool Temperate Developed Ruderal Deciduous Forest","Developed",7,119,144,759,4595,63,1,"11780_1_2_7","North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest","Western Cool Temperate Developed Deciduous Forest","Tree","Developed","Tree Cover = 44%","Tree Height = 19 meters","UE",FALSE
